R_kf_x,L_kf_x,R_x,L_x,R_kf_v,L_kf_v,R_v,L_v,R_gamma,L_gamma,R_d_gamma,L_d_gamma,R_beta,L_beta,R_d_beta,L_d_beta,R_T_w,L_T_w,R_T_p,L_T_p,R_l,L_l
-8.619425,-8.619425,-0.318772,0.972398,-0.001647,-0.001647,0.000000,0.000000,-0.081200,-0.081200,-0.004654,-0.004654,-0.696344,-0.673204,-0.004654,0.006336,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.619444,-8.619444,-0.318772,0.972398,-0.001536,-0.001536,0.000000,0.000000,-0.081209,-0.081209,-0.004654,-0.004654,-0.696354,-0.673213,-0.004654,0.006336,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.619463,-8.619463,-0.318772,0.972398,-0.001656,-0.001656,0.000000,0.000000,-0.081222,-0.081222,0.000672,0.000672,-0.696367,-0.673226,0.000672,0.011662,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.619482,-8.619482,-0.318772,0.972398,-0.001619,-0.001619,0.000000,0.000000,-0.081181,-0.081181,0.003868,0.003868,-0.696326,-0.673185,-0.007122,0.014858,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.619497,-8.619497,-0.318772,0.972398,-0.001297,-0.001297,0.000000,0.000000,-0.081177,-0.081177,0.001737,0.001737,-0.696322,-0.673182,-0.009253,0.012728,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.619507,-8.619507,-0.318772,0.972398,-0.001363,-0.001363,0.000000,0.000000,-0.081201,-0.081201,-0.016372,-0.016372,-0.696346,-0.673205,-0.027362,-0.005382,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.619516,-8.619516,-0.318772,0.972398,-0.001002,-0.001002,0.000000,0.000000,-0.081190,-0.081190,0.007064,0.007064,-0.696335,-0.673194,-0.003926,0.018054,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.619526,-8.619526,-0.318772,0.972398,-0.001137,-0.001137,0.000000,0.000000,-0.081220,-0.081220,0.007064,0.007064,-0.696364,-0.673224,-0.003926,0.018054,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.619535,-8.619535,-0.318772,0.972398,-0.001034,-0.001034,0.000000,0.000000,-0.081193,-0.081193,0.000672,0.000672,-0.696338,-0.673197,-0.010318,0.011662,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
-8.619545,-8.619545,-0.318772,0.972398,-0.001116,-0.001116,0.000000,0.000000,-0.081172,-0.081172,-0.014242,-0.014242,-0.696317,-0.673177,-0.036220,-0.003251,-1.676209,-1.670487,-0.237016,0.306683,0.177018,0.171762
