R_kf_x,L_kf_x,R_x,L_x,R_kf_v,L_kf_v,R_v,L_v,R_kf_w,L_kf_w,a,w
-0.520732,-0.520732,17.455709,-19.697216,0.001721,0.001721,0.000000,0.000000,0.009566,0.009566,0.009705,0.015281
-0.520717,-0.520717,17.455709,-19.697216,0.001551,0.001551,0.000000,0.000000,0.000190,0.000190,0.035919,0.003563
-0.520700,-0.520700,17.455709,-19.697216,0.001709,0.001709,0.000000,0.000000,-0.000914,-0.000914,-0.035934,0.003563
-0.520684,-0.520684,17.455709,-19.697216,0.001498,0.001498,0.000000,0.000000,0.019554,0.019554,-0.001680,0.028064
-0.520670,-0.520670,17.455709,-19.697216,0.001272,0.001272,0.000000,0.000000,-0.009730,-0.009730,-0.046311,-0.012416
-0.520658,-0.520658,17.455709,-19.697216,0.001329,0.001329,0.000000,0.000000,0.007695,0.007695,0.044333,0.009955
-0.520645,-0.520645,17.455709,-19.697216,0.001202,0.001202,0.000000,0.000000,-0.007438,-0.007438,0.028902,-0.013481
-0.520632,-0.520632,17.455709,-19.697216,0.001402,0.001402,0.000000,0.000000,0.014601,0.014601,0.053606,0.018477
-0.520618,-0.520618,17.455709,-19.697216,0.001226,0.001226,0.000000,0.000000,0.008117,0.008117,-0.045944,0.012085
-0.520606,-0.520606,17.455709,-19.697216,0.001374,0.001374,0.000000,0.000000,0.012085,0.012085,0.036004,0.016346
-0.520591,-0.520591,17.455709,-19.697216,0.001419,0.001419,0.000000,0.000000,0.001084,0.001084,-0.025205,0.000367
-0.520577,-0.520577,17.455709,-19.697216,0.001475,0.001475,0.000000,0.000000,-0.005968,-0.005968,0.027221,-0.002828
-0.520561,-0.520561,17.455709,-19.697216,0.001556,0.001556,0.000000,0.000000,0.008445,0.008445,-0.052403,0.009955
-0.520547,-0.520547,17.455709,-19.697216,0.001358,0.001358,0.000000,0.000000,-0.004757,-0.004757,-0.064869,-0.002828
-0.520534,-0.520534,17.455709,-19.697216,0.001230,0.001230,0.000000,0.000000,0.011518,0.011518,0.004269,0.018477
-0.520522,-0.520522,17.455709,-19.697216,0.001212,0.001212,0.000000,0.000000,-0.013218,-0.013218,0.016814,-0.015612
