v,I,P,PR,PL,TR,TL,TRR,TRL,WR,WL,BR,BL,total,total_bias
23.660000,0.170000,4.022200,2.000000,2.000000,0.000000,0.000000,-0.000798,0.009304,0.000000,0.000000,2.022200,2.022200,4.000000,0.022200
23.670000,0.150000,3.550500,2.000000,2.000000,0.000000,0.000000,0.000266,0.010368,0.000000,0.000000,1.550500,1.550500,4.000000,-0.449500
23.670000,0.160000,3.787200,2.000000,2.000000,0.000000,0.000000,-0.002127,0.000266,0.000000,0.000000,1.787200,1.787200,4.000000,-0.212800
23.670000,0.160000,3.787200,2.000000,2.000000,0.000000,0.000000,-0.000798,-0.019406,0.000000,0.000000,1.787200,1.787200,4.000000,-0.212800
23.670000,0.160000,3.787200,2.000000,2.000000,0.000000,0.000000,-0.017280,0.019672,0.000000,0.000000,1.787200,1.787200,4.000000,-0.212800
23.670000,0.160000,3.787200,2.000000,2.000000,0.000000,0.000000,-0.016216,0.000266,0.000000,0.000000,1.787200,1.787200,4.000000,-0.212800
23.670000,0.160000,3.787200,2.000000,2.000000,0.000000,0.000000,0.000266,0.009304,0.000000,0.000000,1.787200,1.787200,4.000000,-0.212800
23.670000,0.160000,3.787200,2.000000,2.000000,0.000000,0.000000,0.000266,0.000266,0.000000,0.000000,1.787200,1.787200,4.000000,-0.212800
23.670000,0.160000,3.787200,2.000000,2.000000,0.000000,0.000000,0.017545,0.009304,0.000000,0.000000,1.787200,1.787200,4.000000,-0.212800
23.670000,0.160000,3.787200,2.000000,2.000000,0.000000,0.000000,0.000266,0.000266,0.000000,0.000000,1.787200,1.787200,4.000000,-0.212800
23.670000,0.170000,4.023900,2.000000,2.000000,0.000000,0.000000,0.016482,-0.010102,0.000000,0.000000,2.023900,2.023900,4.000000,0.023900
23.670000,0.160000,3.787200,2.000000,2.000000,0.000000,0.000000,0.016482,0.000266,0.000000,0.000000,1.787200,1.787200,4.000000,-0.212800
23.670000,0.170000,4.023900,2.000000,2.000000,0.000000,0.000000,-0.017280,0.019672,0.000000,0.000000,2.023900,2.023900,4.000000,0.023900
